account_id,customer_id,account_no,iban,account_type,account_currency,branch_code,branch_name,branch_city,swift_bic,account_open_date,account_status,opening_balance,current_balance,credit_limit,current_debt_amount
A000037,C000037,131-9847996-25,TR43040182854874536884753962,Vadeli,EUR,TR-004,Izmir Konak Subesi,Izmir,TVBATR2A,2019-04-25,DORMANT,223698,30419618,223664,105453
A000038,C000038,544-3080248-27,TR79811434029847503128142339,Vadeli,TRY,TR-001,Istanbul Levent Subesi,Istanbul,YAPITRIS,2024-09-22,ACTIVE,11445,777730,44170,47387
A000039,C000039,549-4975789-98,TR12362529725572700213705416,Vadeli,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TRHBTR2A,2022-06-18,ACTIVE,155353,11994161,646054,416886
A000040,C000040,819-6080273-76,TR51538148352917979756565264,Vadeli,TRY,TR-001,Istanbul Levent Subesi,Istanbul,AKBKTRIS,2020-03-14,ACTIVE,21389,369013,78483,14509
A000041,C000041,469-2734280-75,TR52359232653104520850272294,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TRHBTR2A,2024-02-24,ACTIVE,34236,2848204,318645,85032
A000042,C000042,462-7589949-19,TR57576681855219364900508174,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,FNNBTRIS,2020-02-06,ACTIVE,53699,-117903,224012,269954
A000043,C000043,614-6836031-84,TR55928363896798842256268772,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TCZBTR2A,2022-02-03,ACTIVE,334037,4529562,463711,10034
A000044,C000044,810-8131777-36,TR46745480975918173244938651,Vadeli,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TCZBTR2A,2020-06-21,ACTIVE,342271,13102156,566556,155686
A000045,C000045,964-1963380-80,TR32432560528455411453612275,Doviz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TRHBTR2A,2021-05-30,ACTIVE,20328,2374945,119298,106222
A000046,C000046,311-3224330-86,TR49887225783343241576942071,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,ISBKTRIS,2018-06-06,ACTIVE,142820,4151718,322023,111185
A000047,C000047,965-8475271-81,TR42395555692946638532674382,Vadesiz,TRY,TR-004,Izmir Konak Subesi,Izmir,TCZBTR2A,2019-12-01,ACTIVE,169362,9245225,235892,57444
A000048,C000048,531-5398690-99,TR48242559774178460465893765,Doviz,EUR,TR-002,Istanbul Kadikoy Subesi,Istanbul,TRHBTR2A,2024-11-26,ACTIVE,267076,114796369,887155,9420
A000049,C000049,924-3736135-65,TR37699476443600976616051372,Doviz,TRY,TR-004,Izmir Konak Subesi,Izmir,TGBATRIS,2019-11-29,ACTIVE,70443,344570,97345,5725
A000050,C000050,806-7909275-48,TR55711747278012015078934744,Vadesiz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,FNNBTRIS,2020-05-16,ACTIVE,228507,26793076,1222478,639377
A000051,C000051,489-7991734-62,TR58146610303004020413921197,Vadesiz,TRY,TR-004,Izmir Konak Subesi,Izmir,YAPITRIS,2021-04-11,ACTIVE,189486,5936456,373181,3888
A000052,C000052,422-6942602-77,TR95818216330143519891932510,Doviz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TCZBTR2A,2022-09-15,ACTIVE,518817,6638347,241118,425762
A000053,C000053,165-3263864-84,TR55002935937975616649726209,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,ISBKTRIS,2019-09-14,ACTIVE,119810,415483,251014,177159
A000054,C000054,588-8676603-50,TR60688791880962161514246604,Doviz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,YAPITRIS,2024-11-18,ACTIVE,16339,3153590,93117,38672
A000055,C000055,544-1485983-91,TR93450109755167341241385083,Vadesiz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,AKBKTRIS,2020-04-15,ACTIVE,38714,1772552,54786,57881
A000056,C000056,722-9824820-41,TR23572248360829919107358783,Vadesiz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,YAPITRIS,2021-09-21,ACTIVE,253851,297410,394947,347665
A000057,C000057,297-8218592-26,TR33681351546838405271530497,Vadeli,TRY,TR-003,Ankara Cankaya Subesi,Ankara,FNNBTRIS,2019-09-09,ACTIVE,106984,10767860,168631,107688
A000058,C000058,898-1792679-73,TR49840011459528378699464884,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TRHBTR2A,2021-12-04,ACTIVE,149640,3235557,206652,181041
A000059,C000059,803-2756021-29,TR18410921546776765207783354,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,YAPITRIS,2022-06-09,ACTIVE,100718,2761264,143650,32698
A000060,C000060,880-1488586-82,TR69148018899582071280481460,Doviz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,ISBKTRIS,2023-12-26,ACTIVE,297610,1720502,1078541,980186
A000061,C000061,468-5362831-28,TR57934431032064470755886106,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2020-10-01,ACTIVE,188148,3733380,371409,179394
A000062,C000062,147-5640291-21,TR53825688689462622865095924,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,AKBKTRIS,2021-01-26,ACTIVE,172047,8791794,688617,152144
A000063,C000063,581-5012928-90,TR49537326534863967908999545,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,YAPITRIS,2023-04-11,ACTIVE,52056,665345,75613,14510
A000064,C000064,572-4675958-86,TR87110246960002040034599261,Doviz,TRY,TR-004,Izmir Konak Subesi,Izmir,TCZBTR2A,2018-10-04,ACTIVE,510959,2045266,405878,502425
A000065,C000065,324-9779877-61,TR93517397056699408732076523,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TCZBTR2A,2021-09-09,DORMANT,611544,16174343,885197,1423105
A000066,C000066,506-3767807-93,TR10438206546375331269468682,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,ISBKTRIS,2024-02-08,ACTIVE,35010,6621612,54504,60178
A000067,C000067,669-6483777-43,TR94515297472157673982692213,Vadeli,TRY,TR-004,Izmir Konak Subesi,Izmir,TRHBTR2A,2019-01-24,ACTIVE,139485,6008694,289511,420631
A000068,C000068,921-1969489-90,TR78721592946745964534775222,Vadeli,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TVBATR2A,2019-11-18,ACTIVE,439572,10736015,821617,797061
A000069,C000069,625-6049394-34,TR28739721637873430887389798,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,FNNBTRIS,2023-06-30,ACTIVE,9206,3247525,104555,14344
A000070,C000070,141-9087719-61,TR37584247603083392852886172,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,YAPITRIS,2018-06-13,ACTIVE,72649,5667451,109145,35871
A000071,C000071,766-7333757-48,TR97917345991294840772637082,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,TRHBTR2A,2021-10-10,ACTIVE,261598,19253112,547130,403434
A000072,C000072,159-9968846-20,TR33668976703659277960614799,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2022-06-03,DORMANT,200976,15213704,344913,486546
A000073,C000073,648-9762914-75,TR40188578220428060986067412,Doviz,USD,TR-006,Antalya Merkez Subesi,Antalya,FNNBTRIS,2020-12-19,ACTIVE,110234,70418273,562003,795472
A000074,C000074,743-1157568-38,TR23043522645333016784940560,Vadesiz,TRY,TR-006,Antalya Merkez Subesi,Antalya,AKBKTRIS,2020-10-14,ACTIVE,374425,5650875,300044,339371
A000075,C000075,836-1448864-85,TR19608757923428169516040919,Vadesiz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,AKBKTRIS,2020-06-28,ACTIVE,97805,1961879,112443,42587
A000076,C000076,381-4990450-40,TR14886782987402893121643251,Vadesiz,TRY,TR-004,Izmir Konak Subesi,Izmir,TCZBTR2A,2022-01-17,ACTIVE,115562,2148022,330369,157205
A000077,C000077,697-9448122-73,TR48086131347567377457550667,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,YAPITRIS,2020-03-25,ACTIVE,35100,219722,73812,165897
A000078,C000078,973-6647504-94,TR64002364133392531190163255,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,YAPITRIS,2023-11-25,ACTIVE,19399,6036337,143537,165118
A000079,C000079,550-7984904-84,TR37392346245362186386797938,Doviz,TRY,TR-004,Izmir Konak Subesi,Izmir,TRHBTR2A,2019-02-23,ACTIVE,203951,5964525,104145,41697
A000080,C000080,578-9858361-31,TR79076990761073179689781550,Vadeli,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TGBATRIS,2024-03-05,ACTIVE,108344,8402749,162531,4015
A000081,C000081,523-5669137-55,TR70501447853052954340870555,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,ISBKTRIS,2020-12-05,ACTIVE,142694,3867894,193694,68550
A000082,C000082,108-3921926-69,TR70528463679628323849382606,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,TGBATRIS,2018-09-24,ACTIVE,28335,3412738,196429,217629
A000083,C000083,706-1225667-12,TR49691376789195965790340205,Vadeli,TRY,TR-005,Bursa Nilufer Subesi,Bursa,TGBATRIS,2020-04-20,ACTIVE,205067,728488,361366,83861
A000084,C000084,985-6195685-67,TR96761620508136007936998609,Doviz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TGBATRIS,2022-05-05,ACTIVE,29315,3234277,73780,84262
A000085,C000085,944-1672775-34,TR62378463105921077077785618,Doviz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,YAPITRIS,2023-03-05,ACTIVE,911393,3295861,1097936,1597837
A000086,C000086,304-4418905-67,TR28344389272822099470209925,Vadesiz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,TVBATR2A,2024-09-16,ACTIVE,20531,4988074,93282,7688
A000087,C000087,524-5297664-57,TR54323524720757664338745401,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,TRHBTR2A,2024-02-04,ACTIVE,245469,7028884,175112,172826
A000088,C000088,420-7332193-67,TR45829255311035117056015051,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TGBATRIS,2018-08-26,ACTIVE,96871,4932612,333343,190758
A000089,C000089,371-2634433-58,TR78368584052357624932557991,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,AKBKTRIS,2024-08-08,ACTIVE,82800,10994167,254189,692541
A000090,C000090,191-8317566-29,TR97982539820058693866300588,Vadesiz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,ISBKTRIS,2019-04-13,REVIEW,325679,139286,538793,38778
A000091,C000091,771-6385018-43,TR53567325184809098236648363,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,TRHBTR2A,2021-03-07,ACTIVE,28798,1290528,70502,58186
A000092,C000092,929-2751001-40,TR51139939849902889102338706,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,ISBKTRIS,2020-09-30,ACTIVE,82289,5061288,256404,65669
A000093,C000093,386-8457073-97,TR92872389767815250282192629,Vadesiz,TRY,TR-004,Izmir Konak Subesi,Izmir,FNNBTRIS,2024-12-06,ACTIVE,584652,2951798,768693,359173
A000094,C000094,850-5602779-73,TR58467279268969944402148972,Doviz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2023-05-26,ACTIVE,38638,433170,320849,145638
A000095,C000095,737-8197812-43,TR72353015188700913249709542,Doviz,EUR,TR-002,Istanbul Kadikoy Subesi,Istanbul,TRHBTR2A,2018-09-07,ACTIVE,74335,37672730,210569,189746
A000096,C000096,139-5384415-62,TR68207416695899662291777862,Vadesiz,TRY,TR-006,Antalya Merkez Subesi,Antalya,TVBATR2A,2023-01-16,ACTIVE,48470,2769269,191167,109166
A000097,C000097,390-5399763-32,TR72577097793731697811875953,Doviz,TRY,TR-004,Izmir Konak Subesi,Izmir,FNNBTRIS,2021-05-21,ACTIVE,51945,280737,126791,294834
A000098,C000098,190-1812161-91,TR40897014871194560325883269,Vadeli,TRY,TR-005,Bursa Nilufer Subesi,Bursa,YAPITRIS,2022-11-23,ACTIVE,201876,12938388,435597,169248
A000099,C000099,637-7083276-55,TR29690538495015777508710208,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,TRHBTR2A,2018-10-24,ACTIVE,21938,2836980,84105,3372
A000100,C000100,341-3721704-10,TR47143418614457260308138235,Doviz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2024-10-16,ACTIVE,317091,12332380,651101,252872
A000101,C000101,422-2276557-65,TR17798658484828680184982391,Doviz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TVBATR2A,2024-01-17,ACTIVE,96661,4038854,89597,211840
A000102,C000102,781-1023940-79,TR50153705749192360553812030,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,ISBKTRIS,2022-08-29,ACTIVE,118667,3443499,561003,429127
A000103,C000103,678-3310952-14,TR29869544702378261717807942,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TCZBTR2A,2021-01-04,ACTIVE,522778,2587397,461816,305411
A000104,C000104,678-8885536-27,TR68970666613993307956587223,Vadeli,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TCZBTR2A,2021-04-18,ACTIVE,30307,4370688,144773,14165
A000105,C000105,801-6246841-40,TR75888727726817355145373505,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,TGBATRIS,2023-03-10,ACTIVE,136328,8670359,94636,73332
A000106,C000106,123-1982565-16,TR73184649718709232728997171,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,TVBATR2A,2019-12-24,ACTIVE,163720,4968618,252435,375679
A000107,C000107,531-4194922-22,TR95590138681333062916513212,Vadesiz,TRY,TR-004,Izmir Konak Subesi,Izmir,TVBATR2A,2018-08-28,DORMANT,63351,4042289,135504,358037
A000108,C000108,288-4829294-61,TR88281386721839270039349533,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TRHBTR2A,2021-10-22,ACTIVE,55609,2623952,341329,159664
A000109,C000109,484-5858294-81,TR37424515882419041149373579,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2024-03-23,ACTIVE,474494,10601552,316748,244504
A000110,C000110,280-2969404-68,TR13913500330462963518534182,Vadesiz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,ISBKTRIS,2022-05-02,ACTIVE,200301,2374050,297243,121925
A000111,C000111,626-5443159-24,TR92432919415964706954490469,Vadesiz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,YAPITRIS,2023-07-08,ACTIVE,166728,1285548,277398,316129
A000112,C000112,873-2952978-36,TR68943129267885367805008074,Vadeli,TRY,TR-004,Izmir Konak Subesi,Izmir,TVBATR2A,2024-07-23,ACTIVE,291496,16434909,991682,873965
A000113,C000113,108-4969151-13,TR46995459632320066360410312,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TCZBTR2A,2024-01-25,ACTIVE,76256,6586043,125609,17267
A000114,C000114,734-5301963-93,TR13021064724357828241492691,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,TRHBTR2A,2018-02-24,ACTIVE,393512,10193747,815553,915614
A000115,C000115,547-3840976-99,TR31839563934598048497029976,Vadesiz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,ISBKTRIS,2021-09-04,ACTIVE,53790,679663,76590,85750
A000116,C000116,936-5192283-29,TR35447460361475848878196948,Vadeli,TRY,TR-004,Izmir Konak Subesi,Izmir,FNNBTRIS,2019-02-09,ACTIVE,128665,7134074,373563,102707
A000117,C000117,827-4617504-92,TR27623863856919364188214885,Doviz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TGBATRIS,2022-11-11,ACTIVE,120904,6467490,218223,16203
A000118,C000118,162-5387440-24,TR83063400851264710365546939,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,ISBKTRIS,2018-04-14,ACTIVE,77796,3565303,94674,98640
A000119,C000119,985-2479242-65,TR37858931130447869235423957,Vadeli,TRY,TR-005,Bursa Nilufer Subesi,Bursa,FNNBTRIS,2020-10-19,ACTIVE,117738,155904,206413,152636
A000120,C000120,934-6674877-19,TR86847041833129056335011572,Doviz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TGBATRIS,2021-11-11,ACTIVE,62249,7029566,230468,293658
A000121,C000121,381-8624221-75,TR53836570812447564156044908,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,TGBATRIS,2019-04-02,ACTIVE,100888,4816826,483620,62540
A000122,C000122,846-3916134-40,TR96514699777882084127053582,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,FNNBTRIS,2024-07-26,ACTIVE,422520,11471035,210077,115335
A000123,C000123,777-8897672-64,TR23106495616223525232889973,Vadeli,TRY,TR-004,Izmir Konak Subesi,Izmir,FNNBTRIS,2018-10-26,ACTIVE,239193,8988192,244274,280126
A000124,C000124,776-9981193-92,TR32649643566021832713268656,Vadeli,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TRHBTR2A,2022-12-04,ACTIVE,142307,8913390,303812,259229
A000125,C000125,533-7124616-45,TR32597680905323930821317927,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,TRHBTR2A,2019-10-29,ACTIVE,30292,3040659,33256,61193
A000126,C000126,331-4600454-39,TR87906419029930613826332436,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,AKBKTRIS,2018-09-17,ACTIVE,141569,157553,207614,177849
A000127,C000127,519-7103610-63,TR62988175223091440514536314,Vadesiz,TRY,TR-006,Antalya Merkez Subesi,Antalya,AKBKTRIS,2024-10-26,ACTIVE,277266,8768402,263832,189796
A000128,C000128,693-3168236-12,TR30003470381037254559178445,Vadeli,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2021-12-19,ACTIVE,14485,442494,63790,6878
A000129,C000129,613-8771277-78,TR47730993789334465305286634,Vadesiz,TRY,TR-006,Antalya Merkez Subesi,Antalya,TGBATRIS,2024-04-16,ACTIVE,117284,1356315,245196,268137
A000130,C000130,493-6600256-58,TR71213382520477687073874652,Vadesiz,TRY,TR-006,Antalya Merkez Subesi,Antalya,TRHBTR2A,2021-03-22,ACTIVE,17345,1303473,221009,210038
A000131,C000131,988-6794935-70,TR34133725814214051587693668,Vadeli,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TVBATR2A,2023-07-02,ACTIVE,109968,3402028,301576,309444
A000132,C000132,721-2066249-93,TR52818570550045057303878701,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,TGBATRIS,2018-05-07,ACTIVE,350384,6740002,267487,51507
A000133,C000133,827-5544588-62,TR60785232701556055132729706,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TRHBTR2A,2024-11-25,ACTIVE,27093,2252710,188448,80622
A000134,C000134,576-8906362-96,TR77449046820643913546977723,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,TCZBTR2A,2019-03-08,ACTIVE,136727,5460058,255429,224173
A000135,C000135,346-2118039-90,TR10225757134650313847688080,Vadesiz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,AKBKTRIS,2024-12-22,ACTIVE,224220,2671095,142995,231299
A000136,C000136,755-6115143-92,TR60231190949133004179955000,Vadesiz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,FNNBTRIS,2020-06-25,ACTIVE,48038,2597690,49610,44471
A000137,C000137,695-6638467-10,TR73307560299714682488738485,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,TRHBTR2A,2020-02-14,ACTIVE,43462,2450785,196285,50048
A000138,C000138,821-2020206-33,TR81257887269067010223696006,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,FNNBTRIS,2024-01-05,ACTIVE,131077,1374124,236387,64509
A000139,C000139,152-1014546-72,TR93126037340247714782712492,Vadesiz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,ISBKTRIS,2024-07-16,ACTIVE,409714,22432407,870730,613773
A000140,C000140,779-9457844-17,TR65668232500382974099979024,Doviz,TRY,TR-004,Izmir Konak Subesi,Izmir,TGBATRIS,2024-03-23,ACTIVE,38604,1784954,189771,87609
A000141,C000141,977-4396475-90,TR62681689913624899261044855,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,YAPITRIS,2020-09-22,ACTIVE,255436,4012367,320100,216098
